left,right,margin
leader,5Da1owt7azsAmy25SZhVGNWJmovL76HV7TEvvFxzS6tESN9P,-1.0
leader,5D2vwjResmZJ3ZWpX4Z7kG85cZT4Ymd6i1FeE262QNM7ze6L,-1.0
leader,5ELoQxfLuzMobTVuywjSJjHfZrQhz1bzbxb2yygX5yox9NQB,-1.0
leader,5DLKzFZFKL1v71v6y39LHPqeRf2iR5cR8yCChqaa3vDM1rYD,-1.0
leader,5DoTES2gKUKE67h7D6qQ54UXUwqTDdk9aV5kLN7DYZuzJjHG,-1.0
leader,5En5jFsaMJXaha9Tnxh4HBnPvD5XAsyodZUGLCv8A3GsDb4v,-1.0
leader,5FF5opUuiLneZvN7j5cSLCjjGt967b8Ew3uLT1BwuMGwaqhP,0.1640625
leader,5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,0.0703125
leader,5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,0.25
leader,5GBa8JUKVCoNj74w3H4JPLtYX8XN6D2esZMQq3no8yQQmpJR,-1.0
leader,5CHvUfGBqrWLANVnMHkp1ayKTaKkTZwfA1v6WugcbP93RJ5Q,-1.0
leader,5E2WuWN1d56BQUcaipsdMEWqUaQScbNdtgGgBdRWq1qdzfLC,0.140625
leader,5Fs844KLMnqRJq1yoCiiJjK6RGNsVLJ2gxpAsy6CoXs1YC7E,0.234375
leader,5CtEC66XSu4RQcEHW312TShe3eDb4jzFgAJRXZPRc5ZuwoGd,0.0859375
leader,5DjjhCLQMipFrAekeKgN9hq678SDVokiaWmoxb1yV9pLJoaA,-1.0
leader,5CV4JwN8bVxQwArFiUqvDsibWiMsLiz8YW44yfo4KD3TmpZF,0.109375
leader,5F2EXchigdSUvt4hoakYyZvqx1FERo8p8TqWR9M2DrmGzxtA,0.09375
leader,5FNWUfhA3Wwq5wvbP9ci3gstHssqDvYSygRQ5aZY4n6Rukyn,0.1640625
leader,5FWEHD7wgy8GMrSC1JWTvHBUPfrHQV8ZcgNWCdF4eb6kMwUt,0.0234375
leader,5G1pQeo7c1pgtGYG6couzVVubnCTaDVdzfXCG8VRsL3NXjJ4,-1.0
leader,5DAakdWtREMkTUMtVMVjVKWQHQFEvKZhcktuP9r2doUpweRk,0.2421875
leader,5D5eb1f9Semdhx67xiRfh95B8CbxyxCXmgokHJe2pMnCpQiJ,0.1875
leader,5HEVXjZPZikXTmMJHRoeMbGJhqT9nYX9oq5zVw4ccFXEK35u,-1.0
leader,5Gzki9BoAZVBC7bGVmjdcXwAGsjA3zGwSMiT2B1mM1bg77ea,-1.0
leader,5Gpbd45k1RuDcq6M8FnYYgkcG3nkZzdAm9KXz6LNswe1qNTm,-1.0
leader,5Cd8dXZgXQ8tnyyPYazW968vBFkpS8v4tSCpG5M9nU8tGEVF,-1.0
5FF5opUuiLneZvN7j5cSLCjjGt967b8Ew3uLT1BwuMGwaqhP,5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,0.0859375
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,0.0234375
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5E2WuWN1d56BQUcaipsdMEWqUaQScbNdtgGgBdRWq1qdzfLC,-0.03125
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5Fs844KLMnqRJq1yoCiiJjK6RGNsVLJ2gxpAsy6CoXs1YC7E,0.0078125
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5CtEC66XSu4RQcEHW312TShe3eDb4jzFgAJRXZPRc5ZuwoGd,-0.0625
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5CV4JwN8bVxQwArFiUqvDsibWiMsLiz8YW44yfo4KD3TmpZF,0.0078125
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5F2EXchigdSUvt4hoakYyZvqx1FERo8p8TqWR9M2DrmGzxtA,-0.0703125
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5FNWUfhA3Wwq5wvbP9ci3gstHssqDvYSygRQ5aZY4n6Rukyn,-0.0390625
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5DAakdWtREMkTUMtVMVjVKWQHQFEvKZhcktuP9r2doUpweRk,0.078125
5DAakdWtREMkTUMtVMVjVKWQHQFEvKZhcktuP9r2doUpweRk,5D5eb1f9Semdhx67xiRfh95B8CbxyxCXmgokHJe2pMnCpQiJ,-0.0390625
5FF5opUuiLneZvN7j5cSLCjjGt967b8Ew3uLT1BwuMGwaqhP,5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,0.0546875
5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,5D5eb1f9Semdhx67xiRfh95B8CbxyxCXmgokHJe2pMnCpQiJ,-0.0703125
5FF5opUuiLneZvN7j5cSLCjjGt967b8Ew3uLT1BwuMGwaqhP,5E2WuWN1d56BQUcaipsdMEWqUaQScbNdtgGgBdRWq1qdzfLC,-0.0703125
5FF5opUuiLneZvN7j5cSLCjjGt967b8Ew3uLT1BwuMGwaqhP,5Fs844KLMnqRJq1yoCiiJjK6RGNsVLJ2gxpAsy6CoXs1YC7E,0.03125
5FF5opUuiLneZvN7j5cSLCjjGt967b8Ew3uLT1BwuMGwaqhP,5CtEC66XSu4RQcEHW312TShe3eDb4jzFgAJRXZPRc5ZuwoGd,-0.03125
5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,5E2WuWN1d56BQUcaipsdMEWqUaQScbNdtgGgBdRWq1qdzfLC,0.015625
5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,5Fs844KLMnqRJq1yoCiiJjK6RGNsVLJ2gxpAsy6CoXs1YC7E,-0.0078125
5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,5CtEC66XSu4RQcEHW312TShe3eDb4jzFgAJRXZPRc5ZuwoGd,-0.1171875
5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,5CV4JwN8bVxQwArFiUqvDsibWiMsLiz8YW44yfo4KD3TmpZF,-0.0390625
5GTHnU4xjcpmtGZ9fgGkYjeAiVM7DC9fRVyYhbBZGjeGXN2x,5F2EXchigdSUvt4hoakYyZvqx1FERo8p8TqWR9M2DrmGzxtA,-0.1796875
