left,right,margin
submitted_1,5HgGDgMf4VEwRdVNdoXRMaqATbws8PrBe8qRbaAmiVSGy2Up,-0.1015625
leader_1,5HgGDgMf4VEwRdVNdoXRMaqATbws8PrBe8qRbaAmiVSGy2Up,0.03125
submitted_2,5HgGDgMf4VEwRdVNdoXRMaqATbws8PrBe8qRbaAmiVSGy2Up,-0.0859375
leader_2,5HgGDgMf4VEwRdVNdoXRMaqATbws8PrBe8qRbaAmiVSGy2Up,-0.015625
submitted_3,5HgGDgMf4VEwRdVNdoXRMaqATbws8PrBe8qRbaAmiVSGy2Up,0.0
leader_3,5HgGDgMf4VEwRdVNdoXRMaqATbws8PrBe8qRbaAmiVSGy2Up,0.015625
submitted_1,5G4Z9uJLPN3aYQtukHachhTLvEyccEKDMv5zKCLAskFeeFto,-0.140625
leader_1,5G4Z9uJLPN3aYQtukHachhTLvEyccEKDMv5zKCLAskFeeFto,-0.03125
submitted_2,5G4Z9uJLPN3aYQtukHachhTLvEyccEKDMv5zKCLAskFeeFto,-0.03125
leader_2,5G4Z9uJLPN3aYQtukHachhTLvEyccEKDMv5zKCLAskFeeFto,0.1171875
submitted_3,5G4Z9uJLPN3aYQtukHachhTLvEyccEKDMv5zKCLAskFeeFto,-0.0546875
leader_3,5G4Z9uJLPN3aYQtukHachhTLvEyccEKDMv5zKCLAskFeeFto,0.0234375
